org_id,all_targets,low_targets,medium_targets,high_targets,critical_targets,service_count,ip_count,network_count
48b88bdc-72e9-47bf-9747-ba626424bbc6,229,184,45,0,0,17,565,0
bf3efb91-65a2-44b7-a7b6-112a905fb598,259,140,117,2,0,32,752,15
0f538c6b-e883-4845-ad36-4001c494b448,134,31,90,10,3,23,170,4
5c47de6d-bfe6-47c1-aa71-b50446a0e913,59,9,46,2,2,20,60,1
6b9d7087-a497-4a71-9329-dd32b0f93eec,319,94,219,4,2,30,540,9
d2d27d00-90fb-43e3-8f6b-d6d0d46a23d5,23,4,19,0,0,11,117,1
929e5b05-f01c-4e6d-b56b-9349df2f798f,335,251,72,12,0,36,308,2
b63f403e-74f5-4508-a5c0-d5f638249d5e,121,96,25,0,0,19,139,8
c4822eda-95a5-45fa-bb8a-914a95ce67b6,13,2,10,1,0,8,12,1
98355ca9-be24-4f0c-8982-7c579f1f179e,17,2,13,2,0,9,22,0
2cf5a2db-d863-43ea-b08e-a15816d60062,185,104,73,8,0,28,449,8
d46b2efe-73f4-4915-a1bc-0481397f5700,64,55,8,1,0,13,286,9
3238d7b4-1b57-47f8-9479-9d7f289b5fdf,18,4,14,0,0,9,40,24
afda35ec-7167-4e45-a45e-fccab6807d3d,79,64,15,0,0,12,177,0
5931f8f8-afde-465b-918c-1b69e737d685,88,34,54,0,0,18,132,4
e43cbf77-086f-4eab-924d-5bc0b279889c,553,260,277,15,1,50,897,3
9a11b4a2-a204-4de5-acbc-bf511ccc3af5,18,4,13,1,0,11,53,2
55fdf385-3cb5-4e59-88af-5cca959428f9,1270,858,401,11,0,47,3107,19
0800a9ea-c2bb-48f1-a46e-9cb74e4dc3c6,132,63,64,4,1,26,107,2
41addfde-bf67-4cad-ab03-b4b8fb1d3e55,1073,306,710,55,2,118,970,5
f12774cb-2aa8-401c-ab3b-8d4390c8c4a6,193,37,151,2,3,26,292,1
d4010c31-ad1f-4c97-a627-831f18ac1247,179,38,141,0,0,17,353,2
8eee88f2-8dba-4254-bc15-b15091a41278,19,17,2,0,0,3,8,3
362a528b-d7a5-4df8-ad49-893573169d28,509,160,327,22,0,51,1274,10
8a73e546-fae7-429f-bdcc-7626c42599ba,586,271,309,6,0,58,981,24
ed0c8a2a-ed67-41b6-a906-6da4fb866121,117,42,71,4,0,23,179,1
9a21c8aa-e1b5-41a3-a141-c557fc5efc46,514,242,232,34,6,59,1082,894
dd6d4a73-a5bb-4e30-9d60-d9dcffe11ae6,1349,785,535,27,2,66,4129,56
ecf4b3e9-4edd-4205-b1d7-68e63dbd7cba,69,46,23,0,0,13,166,4
fb6b5dbd-a005-4b0b-ad37-4c5e941f1f96,19,16,3,0,0,3,14,0
010d2e21-0503-45ef-bfc9-735faff21d55,284,85,194,3,2,34,403,6
