org_id,total_ip_count,on_prem_ipv4_count,cloud_ipv4_count,amazon_ipv4_count,azure_ipv4_count,o365_ipv4_count,gcp_ipv4_count,private_ipv4_count,on_prem_ipv6_count,cloud_ipv6_count,amazon_ipv6_count,azure_ipv6_count,o365_ipv6_count,gcp_ipv6_count,private_ipv6_count,invalid_ip_count
9a21c8aa-e1b5-41a3-a141-c557fc5efc46,1374,651,499,473,11,14,1,74,38,114,98,0,16,0,0,0
dd6d4a73-a5bb-4e30-9d60-d9dcffe11ae6,5363,2222,2045,1994,38,10,3,465,194,438,409,0,29,0,0,0
ecf4b3e9-4edd-4205-b1d7-68e63dbd7cba,276,58,107,86,0,21,0,1,0,110,81,0,29,0,0,0
fb6b5dbd-a005-4b0b-ad37-4c5e941f1f96,14,3,8,1,7,0,0,0,3,0,0,0,0,0,0,0
010d2e21-0503-45ef-bfc9-735faff21d55,434,342,93,52,31,0,10,0,5,0,0,0,0,0,0,0
c1456d01-5ece-4cf0-af3e-d7d23590e9ec,102,9,47,0,4,43,0,0,0,46,0,0,46,0,0,0
7ec291c2-de2b-48f4-8552-5c285dd0debc,20,7,5,2,0,3,0,0,0,8,0,0,8,0,0,0
1e557cd2-337f-4555-aa7f-08c1d43092a0,961,251,588,526,62,0,0,2,8,113,113,0,0,0,0,0
c4b0c8d3-207f-47ef-b4b7-9d52598fd7e4,938,847,39,7,8,24,0,1,21,30,0,0,30,0,0,0
9502c23b-4755-42ee-af16-dbf7bb8957af,28,19,0,0,0,0,0,0,9,0,0,0,0,0,0,0
4c737ce2-6c00-451b-9415-7f500560677a,69,12,27,27,0,0,0,0,0,30,30,0,0,0,0,0
7b0b75fe-2ccf-49a5-b0a2-8dab01837ecc,130,12,49,24,0,25,0,0,0,69,45,0,24,0,0,0
ad9eae96-7ec0-4297-af95-1f7caab8d2dd,485,39,122,97,24,0,1,3,0,328,328,0,0,0,0,0
01da6184-7e2e-47ae-94d2-0e1b2eb73a2d,102,32,35,0,0,35,0,0,0,35,0,0,35,0,0,0
f1121885-fa13-49e3-847c-16c13aaf5913,69,10,33,16,0,17,0,0,0,26,0,0,26,0,0,0
470203d5-7817-401a-a637-4a1e8275bacb,1347,625,339,249,22,68,0,95,232,63,0,0,63,0,0,0
dc628f9f-94bd-427a-b7de-7ea6bcb721c4,42,41,1,1,0,0,0,0,0,0,0,0,0,0,0,0
bd998e0c-7724-4e37-9c29-006356fe125b,128,56,49,45,4,0,0,11,12,0,0,0,0,0,0,0
3dba919b-374b-44c4-bb17-19a75c946445,38,10,16,1,0,15,0,0,0,12,0,0,12,0,0,0
39be705b-5234-4519-91e6-e83ec986e4ce,569,438,43,34,6,0,3,46,0,44,44,0,0,0,0,0
0b917dfd-3842-47d7-87c5-0ed7fab39115,506,99,142,125,7,4,6,0,20,247,244,0,3,0,0,0
a957c407-9d60-4d25-8be9-136f42966402,25,19,1,1,0,0,0,0,5,0,0,0,0,0,0,0
dc00dee4-b291-41ce-bd79-a8200e9a6280,97,14,28,28,0,0,0,0,0,55,55,0,0,0,0,0
aabb7f1f-8cd5-4b38-bf6f-4ca77d5c51c1,144,30,83,80,1,0,2,0,0,31,31,0,0,0,0,0
6fb69f64-486d-43a4-a0e3-fc1efaf09ebb,426,10,132,131,0,0,1,0,0,284,284,0,0,0,0,0
4c2ce37b-8cec-44b9-acde-96967a443ca4,139,60,37,9,5,23,0,2,9,33,0,0,33,0,0,0
6f17e9db-91df-45d6-b215-19a1a5fa0e9b,66,15,47,0,0,0,47,0,4,0,0,0,0,0,0,0
0ea67366-ae5d-455c-8149-69201e019a77,41,18,5,3,2,0,0,1,17,0,0,0,0,0,0,0
669936c4-e92a-46ab-96b9-e747254c5b57,22,4,18,18,0,0,0,0,0,0,0,0,0,0,0,0
3143f1a8-92ca-4cec-b9ef-49d4d30cb47c,72,20,42,41,0,0,1,0,10,0,0,0,0,0,0,0
49be93a0-b5e4-4a47-b119-923972d590aa,633,476,99,24,35,39,1,19,11,34,1,0,33,0,0,0
b549e530-d95f-400a-b5e8-9d0f973e4fc1,864,504,245,16,96,0,133,0,126,0,0,0,0,0,0,0
5e01a419-fd2a-43d8-8a8c-4c5224233a3b,334,46,162,42,7,113,0,0,14,112,0,0,112,0,0,0
89623ad5-6051-444f-aff4-529f7e7e2e70,3851,1767,182,21,15,146,0,0,1782,125,0,0,125,0,0,0
61ee416c-d5a5-416a-aed2-21488acb0067,789,415,214,182,15,17,0,17,40,104,83,0,21,0,0,0
13b3ce91-e4ba-476b-90f5-74d70d270394,226,90,100,60,1,38,1,5,0,31,0,0,31,0,0,0
cdd75644-15c1-4574-99f4-bd49b9fa394c,633,50,382,380,1,0,1,8,13,180,180,0,0,0,0,0
87fd3268-fba3-4a7c-8ffd-9e3e36ad7085,50,42,1,1,0,0,0,0,7,0,0,0,0,0,0,0
fc5c0006-9b35-4ee4-9f24-dd89d22dc1d6,119,24,42,36,6,0,0,0,0,56,56,0,0,0,0,0
